flight_edge_id,date_or_window,transport_event_type,origin,destination,transport_type,population_group,reported_count,symptomatic_or_case_status,monitoring_count,post_arrival_monitoring,notes,source_id,data_quality_tag
F01,2026-04-25,Flight,Saint Helena,"Johannesburg, South Africa",unknown/medical or transfer flight,Case 2 + other passengers on same flight,unknown,1 symptomatic deteriorated,unknown,contact tracing initiated,Case 2 deteriorated en route and died on 2026-04-26; passengers on same flight contacted/traced.,S01/S02,observed exposure event
F02,2026-04-27,Medical evacuation,Ascension Island,South Africa,medical evacuation,Case 3,1,1 symptomatic/ICU,0,hospital ICU,Case 3 evacuated from Ascension to South Africa; PCR confirmed 2026-05-02.,S01,medical evacuation
F03,2026-05-06,Medical evacuation,Cabo Verde,Netherlands / Europe specialist hospitals,medical evacuation flight,symptomatic confirmed/suspected patients,2-3,2 symptomatic confirmed + 1 previously suspected,unknown,specialist hospitals,"WHO states two medical evacuation flights carried two symptomatic confirmed patients and one previously suspected case; Netherlands government lists British, Dutch and German evacuees.",S02/S12,medical evacuation
F04,2026-05-10,Government evacuation,"Tenerife, Spain","Madrid, Spain",government/military plane,Spanish nationals/passengers,14,0 at boarding per public reports; 1 provisional positive later but asymptomatic,14,"Gómez Ulla Hospital, Madrid",Reuters: Spanish government plane landed in Madrid; Spanish passengers hospital-isolated for 42 days. Other sources report 14 Spanish passengers.,S07,aggregate; count partly from Spanish media
F05,2026-05-10,Government evacuation,"Tenerife, Spain","Paris, France",government plane,French nationals,5,1 developed symptoms during repatriation flight,5,hospital quarantine/isolation; 22 contacts followed,Reuters/ECDC: one of five French passengers developed symptoms on return flight; France later reported one confirmed case and 22 contacts.,S04/S07/S13,aggregate
F06,2026-05-10,Charter / government-assisted,"Tenerife, Spain","Canada: Bagotville, QC -> airport in BC",Canadian chartered aircraft,Canadian citizens,4,0 asymptomatic at boarding,4,pre-determined isolation location in BC,"Canada: PHAC officer onboard; masking/distancing; minimum 21 days from May 6, possible extension to 42 days since last exposure.",S11,aggregate
F07,2026-05-10,Chartered flight,"Tenerife, Spain","Eindhoven, Netherlands",Dutch government-chartered flight,passengers from MV Hondius,26,screened before boarding,26,home/GGD quarantine,"Dutch flight carried 26 passengers: 8 Dutch, 18 other nationalities; landed Eindhoven; Dutch nationals home quarantine six weeks.",S12,aggregate
F08,2026-05-10/11,Government medical repatriation,"Tenerife, Spain / Canary Islands","Omaha, Nebraska + Atlanta, Georgia, USA",U.S. government medical repatriation flight,U.S.-linked passengers,18,1 initially managed as positive/inconclusive; 1 Atlanta symptomatic per Reuters,18,"16 Nebraska Medicine/UNMC, 2 Emory/Atlanta","CDC planned flight to Offutt AFB/National Quarantine Center; Nebraska Medicine confirms 18 U.S. arrivals, 16 in Nebraska, 2 to Emory/Atlanta.",S08/S09,aggregate
F09,2026-05-10,Chartered flight,"Tenerife, Spain","Manchester, United Kingdom -> Arrowe Park, Wirral",UK chartered repatriation flight,20 British nationals + 1 UK-resident German + 1 Japanese passenger,22,0 symptomatic among Arrowe Park contacts,22,Arrowe Park Hospital then home/other isolation,UKHSA: 22 monitored at Arrowe Park; all negative/asymptomatic as of 13 May; up to 45 days isolation.,S10,aggregate
F10,2026-05-10/11,Planned/government evacuation,"Tenerife, Spain",Turkey,government/non-commercial flight,Turkish passengers/crew,unknown,unknown,unknown,national protocol,Reuters listed Turkey among destinations due to depart; no reliable aggregate count located in cited sources.,S07,placeholder
F11,2026-05-10/11,Planned/government evacuation,"Tenerife, Spain",Ireland,government/non-commercial flight,Irish passengers/crew,unknown,unknown,unknown,national protocol,Reuters listed Ireland among destinations due to depart; no reliable aggregate count located in cited sources.,S07,placeholder
F12,2026-05-11,Dutch-chartered flight,"Tenerife, Spain","Eindhoven, Netherlands",Dutch government-chartered flight,passengers incl. 1 Dutch + 21 other nationalities,22,screened before boarding,22,home/GGD quarantine or arranged quarantine,Second Dutch flight carrying 22 passengers departed Tenerife for Eindhoven on 2026-05-11.,S12,aggregate
F13,2026-05-12,Flight via Netherlands,"Tenerife, Spain","Eindhoven, Netherlands",Australian authorities flight,Australia/New Zealand group,6,0; all in good health and negative per Australian reporting,6,hotel quarantine in Netherlands; onward to Perth,Dutch government notes Australian-operated flight landed at Eindhoven; ABC reports five Australians + one New Zealander arrived in Netherlands.,S12/S14,aggregate
F14,2026-05-14/15,Charter flight,Netherlands,"Perth, Western Australia",charter / arranged flight with PPE,4 Australian citizens + 1 Australian permanent resident + 1 New Zealander,6,0; negative and asymptomatic,6,"Bullsbrook quarantine centre, at least 3 weeks","Australian reporting: group to fly from Netherlands to Perth, then Bullsbrook quarantine; possible further measures to align with WHO 42-day window.",S14,aggregate
F15,2026-05-12,Dutch flight,"Tenerife, Spain","Eindhoven, Netherlands",Dutch/government-supported flight,19 crew + 3 medical staff,22,0 reported in cited update,22,home/GGD quarantine or arranged quarantine,Dutch government: flight carrying 22 people landed; 19 crew members and 3 medical staff.,S12,crew/medical staff aggregate
F16,2026-05-12+,Planned UK repatriation,St Helena / Ascension Island,United Kingdom,UK government-supported transfer,additional UK-linked contacts,10,0 symptomatic at 12 May update; one medic on Ascension tested negative after symptoms,10,UK isolation/support,UKHSA: 10 people from UK Overseas Territories of Saint Helena and Ascension Island to be brought to UK for precautionary self-isolation.,S10,planned/ongoing aggregate
