model,MAE,RMSE,MAPE,SMAPE,correlation,peak_timing_error,peak_magnitude_error,final_cumulative_error,poisson_deviance,MASE,n_predictions,n_origins,MAE_rank,RMSE_rank
HantaCast,0.6666666666666666,0.816496580927726,25.0,88.88888888888889,,1.0,1.0,0.0,2.772588722239781,0.4615384615384615,3,3,1,1
SEIRD,0.7424345012718455,0.8597608158288879,34.65200877382707,97.30046731742978,-0.7802319752219287,1.0,1.0240861477472847,0.2754757993101058,3.007330445498546,0.5139931162651238,3,3,2,3
mean,0.7466931216931217,0.8717530850263993,29.01785714285714,89.77777777777777,-0.9393019184860282,1.0,0.7777777777777777,0.4900793650793651,3.014552524523932,0.516941391941392,3,3,3,4
MLP,0.753148098786672,0.8310537210892155,58.714546263217926,122.20260980393275,0.8478079078872554,0.0,1.2473018765449524,1.3364394307136536,2.8359357845505553,0.5214102222369268,3,3,4,2
DecisionTree,1.0,1.2909944487358056,100.0,200.0,,1.0,2.0,3.0,107.29667324595398,0.6923076923076923,3,3,5,13
ExtraTrees,1.0,1.2909944487358056,100.0,200.0,,1.0,2.0,3.0,107.29667324595398,0.6923076923076923,3,3,5,13
Lasso,1.0054396582145346,1.1707961985078719,93.57107826641628,184.80939315968402,-0.05319174225716407,1.0,1.7265241560130473,2.4693672866696983,40.10749163179321,0.6960736095331393,3,3,6,6
moving_average,1.0666666666666667,1.1313708498984762,80.0,155.55555555555557,-0.6546536707079772,1.0,1.2,1.5999999999999999,6.456627474604602,0.7384615384615385,3,3,7,5
ElasticNet,1.123173079735621,1.1758857591262781,89.93904443650207,177.66501166666424,-0.4785332290169234,1.0,1.2280425382532196,1.8256043157133024,39.603596311823225,0.7775813628938915,3,3,8,7
GaussianProcess,1.1388888888893491,1.2028130608120073,91.66666666666667,180.95238095238096,-0.5544159532167122,1.0,1.24999999999862,1.9166666666652867,40.17506605148638,0.7884615384618571,3,3,9,11
LinearRegression,1.1648967316086436,1.190918261824178,87.87128712871286,173.97078353253653,-0.5048610262499302,1.0,1.020161290322584,1.5350127754710987,39.437125554124854,0.8064669680367533,3,3,10,8
Ridge,1.1681749622926094,1.1942733674285537,87.98076923076923,174.16020671834627,-0.5120055064491426,1.0,1.0147058823529411,1.53393665158371,39.47554850183,0.808736512356422,3,3,11,9
SVR_Linear,1.1790827560038497,1.2023828750348275,87.79732154299629,173.843187550327,-0.5237625075795983,1.0,0.9746445937083026,1.4865374554281539,39.50975672556648,0.8162880618488191,3,3,12,10
SVR_RBF,1.2016856895496388,1.273318334312632,94.69346448946747,187.2069718065009,-0.713344561825176,1.0,1.1826815109297821,1.9704200905084805,41.8728566442372,0.8319362466112884,3,3,13,12
TheilSen,1.3000935168043972,1.3300857944502869,91.88741721854305,181.38651471984807,-0.7093878615063824,1.0,0.7752161383285303,1.450712827070252,41.2143627308212,0.9000647424030442,3,3,14,14
naive,1.3333333333333333,1.4142135623730951,75.0,155.55555555555554,-0.5,1.0,0.0,0.0,39.61395023014452,0.923076923076923,3,3,15,16
KNN,1.3333333333333335,1.3743685418725535,83.33333333333334,171.42857142857144,-1.0,1.0,1.0,0.6666666666666667,5.833704543578886,0.9230769230769232,2,2,16,15
RNN,1.3852253556251526,1.4288182486799292,82.70477503538132,165.7326356142666,-0.6190694653998778,1.0,0.15251493453979492,0.4607059359550476,40.16631985851078,0.9590021692789518,3,3,17,17
drift,1.4107142857142858,1.4536854992095936,96.42857142857143,191.11111111111111,-0.8149101069597458,1.0,0.625,1.4821428571428572,44.433305112080056,0.9766483516483517,3,3,18,18
exp_smoothing,1.6833015165079077,1.7513907485346283,100.0,200.0,-0.8660254037844387,1.0,0.04990454952372314,0.9500954504762769,111.39648232500143,1.1653625883516285,3,3,19,19
